epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,6873.59,0.81519,0.70468,1.16236,0.78567,0.77123,0.81407,0.62938,0.77853,0.74562,1.1431,7.528e-05,7.528e-05,7.528e-05
84,6956.07,0.80979,0.69872,1.16035,0.80312,0.74705,0.81683,0.63093,0.80022,0.75482,1.15304,7.132e-05,7.132e-05,7.132e-05
85,7039.14,0.81141,0.70321,1.16074,0.79961,0.76426,0.81733,0.62829,0.79833,0.73815,1.15141,6.736e-05,6.736e-05,6.736e-05
86,7122.75,0.80295,0.70996,1.16466,0.80744,0.76679,0.81646,0.62965,0.79291,0.72736,1.15173,6.34e-05,6.34e-05,6.34e-05
87,7205.64,0.8136,0.70735,1.16219,0.82056,0.72606,0.80704,0.62367,0.78897,0.7642,1.15396,5.944e-05,5.944e-05,5.944e-05
88,7289.18,0.79953,0.68812,1.15756,0.79754,0.77102,0.81331,0.63023,0.78759,0.73386,1.15189,5.548e-05,5.548e-05,5.548e-05
89,7371.62,0.80491,0.69217,1.1546,0.84356,0.72534,0.81315,0.62644,0.78637,0.73454,1.14701,5.152e-05,5.152e-05,5.152e-05
90,7455.67,0.79662,0.68704,1.15037,0.82819,0.74494,0.80845,0.62116,0.78998,0.74779,1.15448,4.756e-05,4.756e-05,4.756e-05
91,7532.4,0.72548,0.50204,1.13414,0.79969,0.75246,0.81018,0.6246,0.78904,0.7463,1.15548,4.36e-05,4.36e-05,4.36e-05
92,7606.64,0.71084,0.47286,1.11878,0.77049,0.77077,0.81357,0.62585,0.78326,0.74002,1.14808,3.964e-05,3.964e-05,3.964e-05
93,7680.16,0.70078,0.46878,1.11052,0.80812,0.7583,0.81156,0.62683,0.78324,0.73251,1.1466,3.568e-05,3.568e-05,3.568e-05
94,7753.21,0.69756,0.46596,1.11149,0.78205,0.77447,0.81066,0.62455,0.78545,0.7353,1.15034,3.172e-05,3.172e-05,3.172e-05
95,7826.76,0.69507,0.4584,1.11119,0.81962,0.75167,0.81512,0.62678,0.78574,0.73701,1.14847,2.776e-05,2.776e-05,2.776e-05
96,7900.6,0.67838,0.4442,1.09392,0.7813,0.76409,0.80721,0.61989,0.78175,0.74999,1.14859,2.38e-05,2.38e-05,2.38e-05
97,7974.52,0.68967,0.44322,1.10451,0.82436,0.73089,0.81185,0.62444,0.77993,0.75005,1.14224,1.984e-05,1.984e-05,1.984e-05
98,8048.39,0.68239,0.44481,1.09598,0.81194,0.75483,0.81433,0.62772,0.78118,0.74644,1.14515,1.588e-05,1.588e-05,1.588e-05
99,8122.56,0.67871,0.44583,1.10117,0.80406,0.76038,0.81144,0.62504,0.78107,0.75029,1.14498,1.192e-05,1.192e-05,1.192e-05
100,8196.43,0.67677,0.4395,1.09349,0.79013,0.76245,0.80879,0.62325,0.78214,0.75542,1.14806,7.96e-06,7.96e-06,7.96e-06
